"product_name","category_name","status","description","material","color","color_hex","size","pack_quantity","sku","alias","price_rupees","compare_at_price_rupees","is_active","option_google_drive_image_links","shared_google_drive_image_links"
"Monsoon Ripple Mug","Drinkware","DRAFT","A hand-glazed everyday mug with a ripple texture and comfortable handle.","Stoneware","Rain Blue","#517C96","250 ml","2","MONSOON-MUG-BLUE-250-2","Rain Blue · 250 ml · Pack of 2","899","1099","TRUE","",""
"Monsoon Ripple Mug","Drinkware","DRAFT","A hand-glazed everyday mug with a ripple texture and comfortable handle.","Stoneware","Rain Blue","#517C96","250 ml","4","MONSOON-MUG-BLUE-250-4","Rain Blue · 250 ml · Pack of 4","1699","1999","TRUE","",""
"Monsoon Ripple Mug","Drinkware","DRAFT","A hand-glazed everyday mug with a ripple texture and comfortable handle.","Stoneware","Rain Blue","#517C96","350 ml","2","MONSOON-MUG-BLUE-350-2","Rain Blue · 350 ml · Pack of 2","1099","1299","TRUE","",""
"Monsoon Ripple Mug","Drinkware","DRAFT","A hand-glazed everyday mug with a ripple texture and comfortable handle.","Stoneware","Rain Blue","#517C96","350 ml","4","MONSOON-MUG-BLUE-350-4","Rain Blue · 350 ml · Pack of 4","2099","2399","TRUE","",""
"Monsoon Ripple Mug","Drinkware","DRAFT","A hand-glazed everyday mug with a ripple texture and comfortable handle.","Stoneware","Clay Rose","#B76E79","250 ml","2","MONSOON-MUG-ROSE-250-2","Clay Rose · 250 ml · Pack of 2","949","1149","TRUE","",""
"Monsoon Ripple Mug","Drinkware","DRAFT","A hand-glazed everyday mug with a ripple texture and comfortable handle.","Stoneware","Clay Rose","#B76E79","250 ml","4","MONSOON-MUG-ROSE-250-4","Clay Rose · 250 ml · Pack of 4","1799","2099","TRUE","",""
"Monsoon Ripple Mug","Drinkware","DRAFT","A hand-glazed everyday mug with a ripple texture and comfortable handle.","Stoneware","Clay Rose","#B76E79","350 ml","2","MONSOON-MUG-ROSE-350-2","Clay Rose · 350 ml · Pack of 2","1149","1349","TRUE","",""
"Monsoon Ripple Mug","Drinkware","DRAFT","A hand-glazed everyday mug with a ripple texture and comfortable handle.","Stoneware","Clay Rose","#B76E79","350 ml","4","MONSOON-MUG-ROSE-350-4","Clay Rose · 350 ml · Pack of 4","2199","2499","TRUE","",""
"Mango Leaf Serving Bowl","Serveware","DRAFT","A wide serving bowl with a softly scalloped rim for curries salads and shared dishes.","Ceramic","Leaf Green","#6B7D4E","Medium","1","MANGO-BOWL-GREEN-M-1","Leaf Green · Medium · Pack of 1","1299","1599","TRUE","",""
"Mango Leaf Serving Bowl","Serveware","DRAFT","A wide serving bowl with a softly scalloped rim for curries salads and shared dishes.","Ceramic","Leaf Green","#6B7D4E","Large","1","MANGO-BOWL-GREEN-L-1","Leaf Green · Large · Pack of 1","1699","1999","TRUE","",""
"Mango Leaf Serving Bowl","Serveware","DRAFT","A wide serving bowl with a softly scalloped rim for curries salads and shared dishes.","Ceramic","Warm Ivory","#EFE2C6","Medium","2","MANGO-BOWL-IVORY-M-2","Warm Ivory · Medium · Pack of 2","2399","2799","TRUE","",""
"Mango Leaf Serving Bowl","Serveware","DRAFT","A wide serving bowl with a softly scalloped rim for curries salads and shared dishes.","Ceramic","Warm Ivory","#EFE2C6","Large","2","MANGO-BOWL-IVORY-L-2","Warm Ivory · Large · Pack of 2","2999","3499","TRUE","",""
