product_name,category_name,status,description,material,color,color_hex,sku,barcode,price_rupees,compare_at_price_rupees,is_active
"Porcelain Tea Set – 1 Teapot, 6 Cups & Serving Tray with Stand",Tea Set,PUBLISHED,"The product is green with a beautiful gold texture and details. It is placed on a matching tray with a gold stand, giving it an elegant and luxurious look.",Ceramic,Green & Gold,#008000,16187-12-GREEN,107,8900,12460,TRUE
7-Piece Luxury Ceramic Tea & Coffee Set with Gold Rack and Serving Tray,Tea Set,PUBLISHED,"Serve tea or coffee in elegance with this 7-piece ceramic tea set featuring a premium teapot, six matching cups, a gold-finished cup stand, and a stylish serving tray. Designed with a glossy swirl pattern and luxurious gold accents, this durable set is perfect for daily use,",Ceramic,Purple,#FFC0CB,16187-12-PURPLE,13,8900,12460,TRUE
"Elegant Porcelain Tea Set – 1 Teapot, 6 Cups & Serving Tray with Stand",Tea Set,PUBLISHED,"The tea set has a soft white and light blue color with a beautiful pearly shine and gold details. It is displayed neatly on a matching light blue serving tray with a gold stand, giving it a clean, elegant, and stylish look.",Ceramic,White & Blue,#FAFAFA,16187-14-BLUE,112,8400,11760,TRUE
7 pcs Luxury Pearl White & Sky Blue Ceramic Tea Set with 6 Cups & Serving Tray ????,Tea Set,PUBLISHED,"Pearl White & Sky Blue Ceramic Tea Set. Designed with a beautiful ribbed texture and a glossy pearl finish, this tea set gives a premium and sophisticated look to your dining table",Ceramic,White & Blue,#FAFAFA,16187-29-BLUE,30,6900,9660,TRUE
7 pcs Ceramic Ombre Teapot and Cup Set with Serving Tray (Fluted Design),Tea Set,PUBLISHED,"Add a touch of luxury to your tea time with this beautifully designed pearl white tea set. Featuring a graceful teapot with a golden lid accent, six matching textured cups, and a stylish serving tray, this set is perfect for serving tea, coffee, or special beverages to guests.",Ceramic,White & Grey,#FAFAFA,16187-29-GREY,137,6900,9660,TRUE
Luxury Pearl White & Emerald Green Ceramic Tea Set with 6 Cups & Serving Tray,Tea Set,PUBLISHED,"Bring elegance and charm to your tea time with this Luxury Pearl White & Emerald Green Ceramic Tea Set. Designed with a beautiful ribbed texture and a premium glossy finish, this tea set adds a royal touch to your home décor and serving collection.",Ceramic,White & Gold,#FAFAFA,16187-29-WHITE,138,6900,9660,TRUE
7 Pcs Ceramic Spice Jar Set with Golden Bow Lid & Metal Rack | Stylish Kitchen Masala Storage Containers,Canister Set,PUBLISHED,"elegance and organization to your kitchen with this 7 Pcs Ceramic Spice Jar Set. Featuring a beautiful pink-and-white finish with stylish golden bow lids, these jars are perfect for storing spices, masalas, herbs, sugar and other kitchen essentials.",Ceramic,Pink,#FFC0CB,16187-38-A,39,5900,8260,TRUE
Luxury 7-Piece Ceramic Kitchen Storage Set,Canister Set,PUBLISHED,"Luxury Storage for Elegant Kitchens Bring elegance and organization to your kitchen with the Royal Pearl Ceramic Canister Set. Designed with premium ceramic jars, luxurious gold accents, and a stylish metal stand, this 7-piece storage set is the perfect combination of beauty and functionality.",Ceramic,White,#FAFAFA,16187-38-C,145,5900,8260,TRUE
7-Piece Emerald Green Ceramic Tea Set with Gold Trim and Serving Tray,Tea Set,PUBLISHED,"Elevate your tea experience with this elegant 7-piece ceramic tea set featuring a beautifully crafted teapot, six matching cups, and a coordinating serving tray. Finished in rich emerald green with luxurious gold accents, this durable set combines timeless style with everyday functionality.",Ceramic,Green,#008000,16187-4-GREEN,5,6900,9660,TRUE
Pearlescent Elegance 7-Piece Ceramic Tea Set with Serving Tray,Tea Set,PUBLISHED,"beautifully crafted pearl white ceramic tea set. Featuring a glossy iridescent finish and a golden lid accent, this premium set brings elegance and sophistication to every serving. Perfect for daily use, guests, festive occasions, or gifting.",Ceramic,White & Blue,#FAFAFA,16187-7-GREY,96,7900,11060,TRUE
